region,distrito,comuna
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,GUAITECAS
DE VALPARAISO,DISTRITO 6,HIJUELAS
DE LOS LAGOS,DISTRITO 26,HUALAIHUE
DEL MAULE,DISTRITO 17,HUALAÑE
DEL BIOBIO,DISTRITO 20,HUALPEN
DEL BIOBIO,DISTRITO 20,HUALQUI
DE TARAPACA,DISTRITO 2,HUARA
DE ATACAMA,DISTRITO 4,HUASCO
METROPOLITANA DE SANTIAGO,DISTRITO 9,HUECHURABA
DE COQUIMBO,DISTRITO 5,ILLAPEL
METROPOLITANA DE SANTIAGO,DISTRITO 9,INDEPENDENCIA
DE TARAPACA,DISTRITO 2,IQUIQUE
METROPOLITANA DE SANTIAGO,DISTRITO 14,ISLA DE MAIPO
DE VALPARAISO,DISTRITO 7,ISLA DE PASCUA
DE VALPARAISO,DISTRITO 7,JUAN FERNANDEZ
METROPOLITANA DE SANTIAGO,DISTRITO 13,LA CISTERNA
DE VALPARAISO,DISTRITO 6,LA CRUZ
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,LA ESTRELLA
METROPOLITANA DE SANTIAGO,DISTRITO 12,LA FLORIDA
METROPOLITANA DE SANTIAGO,DISTRITO 10,LA GRANJA
DE COQUIMBO,DISTRITO 5,LA HIGUERA
DE VALPARAISO,DISTRITO 6,LA LIGUA
METROPOLITANA DE SANTIAGO,DISTRITO 12,LA PINTANA
METROPOLITANA DE SANTIAGO,DISTRITO 11,LA REINA
DE COQUIMBO,DISTRITO 5,LA SERENA
DE LOS RIOS,DISTRITO 24,LA UNION
DE LOS RIOS,DISTRITO 24,LAGO RANCO
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,LAGO VERDE
DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,LAGUNA BLANCA
DEL BIOBIO,DISTRITO 21,LAJA
METROPOLITANA DE SANTIAGO,DISTRITO 8,LAMPA
DE LOS RIOS,DISTRITO 24,LANCO
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,LAS CABRAS
METROPOLITANA DE SANTIAGO,DISTRITO 11,LAS CONDES
DE LA ARAUCANIA,DISTRITO 22,LAUTARO
DEL BIOBIO,DISTRITO 21,LEBU
DEL MAULE,DISTRITO 17,LICANTEN
DE VALPARAISO,DISTRITO 6,LIMACHE
DEL MAULE,DISTRITO 18,LINARES
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,LITUECHE
DE VALPARAISO,DISTRITO 6,LLAILLAY
DE LOS LAGOS,DISTRITO 25,LLANQUIHUE
METROPOLITANA DE SANTIAGO,DISTRITO 11,LO BARNECHEA
METROPOLITANA DE SANTIAGO,DISTRITO 13,LO ESPEJO
METROPOLITANA DE SANTIAGO,DISTRITO 9,LO PRADO
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,LOLOL
DE LA ARAUCANIA,DISTRITO 23,LONCOCHE
DEL MAULE,DISTRITO 18,LONGAVI
DE LA ARAUCANIA,DISTRITO 22,LONQUIMAY
DEL BIOBIO,DISTRITO 21,LOS ALAMOS
DE VALPARAISO,DISTRITO 6,LOS ANDES
DEL BIOBIO,DISTRITO 21,LOS ANGELES
DE LOS RIOS,DISTRITO 24,LOS LAGOS
DE LOS LAGOS,DISTRITO 25,LOS MUERMOS
DE LA ARAUCANIA,DISTRITO 22,LOS SAUCES
DE COQUIMBO,DISTRITO 5,LOS VILOS
DEL BIOBIO,DISTRITO 21,LOTA
DE LA ARAUCANIA,DISTRITO 22,LUMACO
