region,orden_reg,distrito,com_nom,cod_servel,cod_casen,padron,vot_boric,vot_kast,vot_nulo,vot_blanco,vot_validos,vot_tot,participacion,per_pob2020
DEL BIOBIO,11,DISTRITO 20,CHIGUAYANTE,2644,8103,68015,23040,17892,381,111,40932,41424,0.6090421230610895,0.1087466112681254
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,15,DISTRITO 27,CHILE CHICO,2745,11401,6423,1421,838,31,7,2259,2297,0.3576210493538845,0.06331774887604207
DE ÑUBLE,10,DISTRITO 19,CHILLAN,2826,16101,153992,40277,45331,684,192,85608,86484,0.56161359031638,0.1373264021864332
DE ÑUBLE,10,DISTRITO 19,CHILLAN VIEJO,2828,16103,22712,6085,7189,96,25,13274,13395,0.5897763296935541,0.1458816552876249
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,8,DISTRITO 16,CHIMBARONGO,2604,6303,30692,8654,7024,86,43,15678,15807,0.5150202007037664,0.1067880399219578
DE LA ARAUCANIA,12,DISTRITO 23,CHOLCHOL,2695,9121,11149,2690,3332,73,18,6022,6113,0.5483002959906718,0.2331448161588211
DE LOS LAGOS,14,DISTRITO 26,CHONCHI,2718,10203,13357,3964,2386,46,26,6350,6422,0.48079658605974396,0.1329975382874391
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,15,DISTRITO 27,CISNES,2740,11202,4642,1183,1245,9,7,2428,2444,0.5264971994829815,0.08285568258702605
DE ÑUBLE,10,DISTRITO 19,COBQUECURA,2836,16202,5904,1483,1956,25,12,3439,3476,0.5887533875338753,0.1917782951128403
DE LOS LAGOS,14,DISTRITO 26,COCHAMO,2709,10103,4636,690,1225,18,16,1915,1949,0.42040552200172565,0.170784334066917
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,15,DISTRITO 27,COCHRANE,2742,11301,3384,843,791,15,10,1634,1659,0.49024822695035464,0.09859076695901245
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,8,DISTRITO 15,CODEGUA,2580,6102,11661,3986,2447,49,13,6433,6495,0.556984821198868,0.1307581823847938
DE ÑUBLE,10,DISTRITO 19,COELEMU,2837,16203,15372,3733,5184,57,14,8917,8988,0.5846994535519126,0.125737476517724
DE ÑUBLE,10,DISTRITO 19,COIHUECO,2843,16302,22439,3446,8655,71,31,12101,12203,0.5438299389455858,0.1665296630224565
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,8,DISTRITO 15,COINCO,2581,6103,7305,2153,1932,25,10,4085,4120,0.5639972621492129,0.1324412717881086
DEL MAULE,9,DISTRITO 18,COLBUN,2635,7402,18716,4973,4196,52,35,9169,9256,0.4945501175464843,0.1480801137891988
DE TARAPACA,2,DISTRITO 2,COLCHANE,2505,1403,3217,52,928,3,1,980,984,0.3058750388560771,0.2108700694260946
METROPOLITANA DE SANTIAGO,7,DISTRITO 8,COLINA,2793,13301,94052,22453,32653,509,198,55106,55813,0.5934270403606515,0.08575312542923863
DE LA ARAUCANIA,12,DISTRITO 22,COLLIPULLI,2697,9202,22172,3571,7623,78,39,11194,11311,0.5101479343315893,0.1963139091909959
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,8,DISTRITO 15,COLTAUCO,2582,6104,16381,4844,3829,60,23,8673,8756,0.5345217019717966,0.1112126825239512
DE COQUIMBO,5,DISTRITO 5,COMBARBALA,2537,4302,12522,3876,1898,40,14,5774,5828,0.46542085928765375,0.1338800041074522
DEL BIOBIO,11,DISTRITO 20,CONCEPCION,2642,8101,200269,60654,55618,1051,336,116272,117659,0.5875048060358817,0.1093322942628359
METROPOLITANA DE SANTIAGO,7,DISTRITO 9,CONCHALI,2761,13104,116290,43294,21464,445,144,64758,65347,0.5619313784504256,0.1244445433199645
DE VALPARAISO,6,DISTRITO 7,CONCON,2543,5103,40829,12555,15012,304,131,27567,28002,0.6858360479071248,0.08184432292608097
DEL MAULE,9,DISTRITO 17,CONSTITUCION,2613,7102,40149,10774,10056,214,65,20830,21109,0.5257665197140651,0.1120622810606706
DEL BIOBIO,11,DISTRITO 21,CONTULMO,2657,8204,6114,1059,2390,20,7,3449,3476,0.5685312397775597,0.1682856500565809
DE ATACAMA,4,DISTRITO 4,COPIAPO,2517,3101,124441,38215,23707,521,153,61922,62596,0.5030174942342154,0.08633782300382041
DE COQUIMBO,5,DISTRITO 5,COQUIMBO,2527,4102,171212,53671,31884,769,255,85555,86579,0.5056830128729295,0.107583661103928
DEL BIOBIO,11,DISTRITO 20,CORONEL,2643,8102,90394,26674,22136,469,111,48810,49390,0.5463858220678364,0.1381523617193343
DE LOS RIOS,13,DISTRITO 24,CORRAL,2811,14102,5546,1844,1000,13,6,2844,2863,0.5162279120086549,0.1542855394677075
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,15,DISTRITO 27,COYHAIQUE,2737,11101,54221,14430,11650,199,82,26080,26361,0.48617694251304844,0.05849552755128693
DE LA ARAUCANIA,12,DISTRITO 23,CUNCO,2677,9103,20105,3407,5833,65,13,9240,9318,0.4634667993036558,0.2074481008814761
DE LA ARAUCANIA,12,DISTRITO 22,CURACAUTIN,2698,9203,21097,2725,6306,53,25,9031,9109,0.43176754988860977,0.2011994188839145
METROPOLITANA DE SANTIAGO,7,DISTRITO 14,CURACAVI,2802,13503,27147,9652,6865,129,43,16517,16689,0.6147640623273289,0.09549868358817849
DE LOS LAGOS,14,DISTRITO 26,CURACO DE VELEZ,2719,10204,3770,1041,762,20,9,1803,1832,0.48594164456233424,0.1462712326671376
DEL BIOBIO,11,DISTRITO 21,CURANILAHUE,2658,8205,30382,7474,7493,128,54,14967,15149,0.4986176025278125,0.1368396232140789
DE LA ARAUCANIA,12,DISTRITO 23,CURARREHUE,2678,9104,8521,1474,2411,28,9,3885,3922,0.4602746156554395,0.2476218022398686
DEL MAULE,9,DISTRITO 17,CUREPTO,2614,7103,10330,2834,2433,42,19,5267,5328,0.5157792836398838,0.1275885562997483
DEL MAULE,9,DISTRITO 17,CURICO,2625,7301,118541,36040,32035,548,180,68075,68803,0.5804152149889068,0.1010600991607528
DE LOS LAGOS,14,DISTRITO 26,DALCAHUE,2720,10205,12772,3024,2616,46,24,5640,5710,0.4470717193861572,0.1179428822520927
DE ATACAMA,4,DISTRITO 4,DIEGO DE ALMAGRO,2521,3202,13101,3932,1281,59,14,5213,5286,0.40348065033203573,0.08317232466203732
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,8,DISTRITO 15,DONIHUE,2583,6105,18597,6427,4136,78,26,10563,10667,0.5735871377103834,0.09168316070134791
METROPOLITANA DE SANTIAGO,7,DISTRITO 13,EL BOSQUE,2762,13105,135969,49629,25753,501,135,75382,76018,0.5590833204627526,0.125609144671792
DE ÑUBLE,10,DISTRITO 19,EL CARMEN,2829,16104,12469,2008,4738,30,19,6746,6795,0.5449514796695806,0.1708490651218286
METROPOLITANA DE SANTIAGO,7,DISTRITO 14,EL MONTE,2806,13602,28129,10139,6232,145,47,16371,16563,0.5888229229620676,0.1173566559698672
DE VALPARAISO,6,DISTRITO 7,EL QUISCO,2566,5604,14675,5413,3972,68,13,9385,9466,0.6450425894378194,0.1189421000759363
DE VALPARAISO,6,DISTRITO 7,EL TABO,2567,5605,12832,5030,3287,60,15,8317,8392,0.6539900249376559,0.1511497511780771
DEL MAULE,9,DISTRITO 17,EMPEDRADO,2615,7104,4523,644,1797,31,8,2441,2480,0.548308644704842,0.1641904952039295
DE LA ARAUCANIA,12,DISTRITO 22,ERCILLA,2699,9204,8036,1632,2232,34,10,3864,3908,0.48631159780985567,0.2367310403610821
METROPOLITANA DE SANTIAGO,7,DISTRITO 8,ESTACION CENTRAL,2763,13106,125639,41330,22393,471,155,63723,64349,0.51217376769952,0.1167853268222691
DEL BIOBIO,11,DISTRITO 20,FLORIDA,2645,8104,10550,2181,3442,55,16,5623,5694,0.5397156398104266,0.1592122725799187
DE LA ARAUCANIA,12,DISTRITO 23,FREIRE,2679,9105,22892,4428,6578,86,36,11006,11128,0.4861086842565088,0.1879164502537262
DE ATACAMA,4,DISTRITO 4,FREIRINA,2524,3303,6051,2132,746,23,7,2878,2908,0.4805817220294166,0.1282592080571183
DE LOS LAGOS,14,DISTRITO 25,FRESIA,2710,10104,12172,2912,3501,51,20,6413,6484,0.532697995399277,0.1909900851785052
DE LOS LAGOS,14,DISTRITO 25,FRUTILLAR,2711,10105,17227,4276,5333,75,20,9609,9704,0.5633017936959425,0.1207915368663827
DE LOS LAGOS,14,DISTRITO 26,FUTALEUFU,2734,10402,3885,558,855,14,5,1413,1432,0.3685971685971686,0.1348302391269383
DE LOS RIOS,13,DISTRITO 24,FUTRONO,2819,14202,14801,2786,4902,60,28,7688,7776,0.5253699074386866,0.1586757242714591
DE LA ARAUCANIA,12,DISTRITO 22,GALVARINO,2680,9106,12092,2734,3326,41,26,6060,6127,0.5066986437313926,0.2378400924547613
DE ARICA Y PARINACOTA,1,DISTRITO 1,GENERAL LAGOS,2825,15202,1948,65,251,9,1,316,326,0.1673511293634497,0.2579186310977353
DE LA ARAUCANIA,12,DISTRITO 23,GORBEA,2681,9107,15651,2549,5486,57,17,8035,8109,0.5181138585393904,0.1908214915695148
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,8,DISTRITO 15,GRANEROS,2584,6106,27062,10092,5673,120,48,15765,15933,0.5887591456655088,0.1027154234743405
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,15,DISTRITO 27,GUAITECAS,2741,11203,1696,365,259,6,0,624,630,0.3714622641509434,0.07369173261708538
DE VALPARAISO,6,DISTRITO 6,HIJUELAS,2560,5503,15727,4721,3693,76,28,8414,8518,0.5416163286068545,0.1322847507635165
DE LOS LAGOS,14,DISTRITO 26,HUALAIHUE,2735,10403,8774,2046,2181,33,21,4227,4281,0.4879188511511283,0.1285428174993678
DEL MAULE,9,DISTRITO 17,HUALANE,2626,7302,9788,3167,2442,35,27,5609,5671,0.5793829178586024,0.1278457125026535
DEL BIOBIO,11,DISTRITO 20,HUALPEN,2653,8112,77313,26020,20086,406,96,46106,46608,0.602848162663459,0.1037599426965436
DEL BIOBIO,11,DISTRITO 20,HUALQUI,2646,8105,20705,5354,5317,100,35,10671,10806,0.521902921999517,0.1724081217988391
DE TARAPACA,2,DISTRITO 2,HUARA,2506,1404,9045,545,990,18,5,1535,1558,0.1722498618021006,0.2029571912725485
DE ATACAMA,4,DISTRITO 4,HUASCO,2525,3304,8454,3131,1212,36,9,4343,4388,0.5190442394132955,0.09818844994379101
METROPOLITANA DE SANTIAGO,7,DISTRITO 9,HUECHURABA,2764,13107,74581,28683,18931,493,161,47614,48268,0.6471889623362519,0.08249161467636315
DE COQUIMBO,5,DISTRITO 5,ILLAPEL,2532,4201,27992,9971,4239,95,40,14210,14345,0.512467847956559,0.1195009177724981
METROPOLITANA DE SANTIAGO,7,DISTRITO 9,INDEPENDENCIA,2765,13108,82526,24430,15505,291,119,39935,40345,0.4888762329447689,0.1393396243004002
DE TARAPACA,2,DISTRITO 2,IQUIQUE,2501,1101,167349,39346,40072,733,238,79418,80389,0.48036737596280826,0.1235476733178545
METROPOLITANA DE SANTIAGO,7,DISTRITO 14,ISLA DE MAIPO,2807,13603,28606,10118,7141,97,34,17259,17390,0.6079144235475075,0.1146184649258176
DE VALPARAISO,6,DISTRITO 7,ISLA DE PASCUA,2548,5201,6493,2016,853,39,15,2869,2923,0.45017711381487757,0.1175426398105298
DE VALPARAISO,6,DISTRITO 7,JUAN FERNANDEZ,2544,5104,930,282,118,0,1,400,401,0.4311827956989247,0.122933148907687
METROPOLITANA DE SANTIAGO,7,DISTRITO 13,LA CISTERNA,2766,13109,81931,28899,18881,357,91,47780,48228,0.5886416618862214,0.07797548582643793
DE VALPARAISO,6,DISTRITO 6,LA CRUZ,2561,5504,16779,5571,4915,109,32,10486,10627,0.6333512128255557,0.08594594033111262
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,8,DISTRITO 16,LA ESTRELLA,2597,6202,3799,1085,1175,14,8,2260,2282,0.6006843906291129,0.07515494210314973
METROPOLITANA DE SANTIAGO,7,DISTRITO 12,LA FLORIDA,2767,13110,308805,125000,68018,1403,445,193018,194866,0.6310325286183838,0.08037518939070515
METROPOLITANA DE SANTIAGO,7,DISTRITO 10,LA GRANJA,2768,13111,102187,38965,16501,339,117,55466,55922,0.5472516073473143,0.1194579251905011
DE COQUIMBO,5,DISTRITO 5,LA HIGUERA,2529,4104,4487,1300,654,10,4,1954,1968,0.4386004011589035,0.1552626279996922
DE VALPARAISO,6,DISTRITO 6,LA LIGUA,2553,5401,30495,10990,6698,117,39,17688,17844,0.5851451057550419,0.1323431186533528
METROPOLITANA DE SANTIAGO,7,DISTRITO 12,LA PINTANA,2769,13112,137994,49972,18549,449,172,68521,69142,0.5010507703233474,0.1531305092145046
METROPOLITANA DE SANTIAGO,7,DISTRITO 11,LA REINA,2770,13113,90939,30753,31593,844,407,62346,63597,0.6993369181539274,0.04704515049232214
DE COQUIMBO,5,DISTRITO 5,LA SERENA,2526,4101,179322,59745,39209,852,295,98954,100101,0.5582192926690535,0.1158846818550286
DE LOS RIOS,13,DISTRITO 24,LA UNION,2818,14201,35752,8200,10594,124,50,18794,18968,0.5305437458044305,0.1250073679561646
DE LOS RIOS,13,DISTRITO 24,LAGO RANCO,2820,14203,9616,1940,3085,35,31,5025,5091,0.5294301164725458,0.1359334120944532
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,15,DISTRITO 27,LAGO VERDE,2738,11102,1247,255,316,7,5,571,583,0.46752205292702487,0.06079637956506091
DE MAGALLANES Y DE LA ANTARTICA CHILENA,16,DISTRITO 28,LAGUNA BLANCA,2748,12102,822,166,173,2,3,339,344,0.41849148418491483,0.04931501555663354
DEL BIOBIO,11,DISTRITO 21,LAJA,2664,8304,21631,4594,5656,97,36,10250,10383,0.4800055475937312,0.1351941484837018
METROPOLITANA DE SANTIAGO,7,DISTRITO 8,LAMPA,2794,13302,62829,20285,15090,273,268,35375,35916,0.57164685097646,0.101971894824175
DE LOS RIOS,13,DISTRITO 24,LANCO,2812,14103,16367,4090,4208,61,29,8298,8388,0.5124946538767031,0.1425972316776826
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,8,DISTRITO 16,LAS CABRAS,2585,6107,20829,6030,4833,53,26,10863,10942,0.5253252676556723,0.1115536843479069
METROPOLITANA DE SANTIAGO,7,DISTRITO 11,LAS CONDES,2771,13114,271386,47733,132330,2934,1230,180063,184227,0.6788375229378082,0.02787233237312144
DE LA ARAUCANIA,12,DISTRITO 22,LAUTARO,2682,9108,34520,6703,11118,132,41,17821,17994,0.5212630359212052,0.1852949085178142
DEL BIOBIO,11,DISTRITO 21,LEBU,2654,8201,22302,4796,5908,94,36,10704,10834,0.48578602815890953,0.1728088251464594
DEL MAULE,9,DISTRITO 17,LICANTEN,2627,7303,6897,2219,1690,19,22,3909,3950,0.5727127736697115,0.1311718220416119
DE VALPARAISO,6,DISTRITO 6,LIMACHE,2576,5802,40056,12427,10222,202,64,22649,22915,0.5720740962652286,0.1042934712417906
DEL MAULE,9,DISTRITO 18,LINARES,2634,7401,82252,20962,23014,274,104,43976,44354,0.539245246316199,0.1094189877149527
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,8,DISTRITO 16,LITUECHE,2598,6203,6624,2023,1924,16,9,3947,3972,0.5996376811594203,0.1220730175960753
DE VALPARAISO,6,DISTRITO 6,LLAILLAY,2571,5703,21043,8753,3601,88,28,12354,12470,0.5925961127215701,0.1251426727474609
DE LOS LAGOS,14,DISTRITO 25,LLANQUIHUE,2713,10107,16207,4639,4390,73,31,9029,9133,0.5635219349663726,0.1232217400269207
METROPOLITANA DE SANTIAGO,7,DISTRITO 11,LO BARNECHEA,2772,13115,84259,12248,46038,859,294,58286,59439,0.7054320606700768,0.05503074095958906
METROPOLITANA DE SANTIAGO,7,DISTRITO 13,LO ESPEJO,2773,13116,88815,34532,12695,295,115,47227,47637,0.5363621009964533,0.1439451335280441
METROPOLITANA DE SANTIAGO,7,DISTRITO 9,LO PRADO,2774,13117,86901,33698,15500,345,86,49198,49629,0.5710981461663271,0.1371940886012782
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,8,DISTRITO 16,LOLOL,2605,6304,6957,1822,1989,18,11,3811,3840,0.5519620526088831,0.1438317853820431
DE LA ARAUCANIA,12,DISTRITO 23,LONCOCHE,2683,9109,23234,5063,6133,80,31,11196,11307,0.486657484720668,0.1680879841127793
DEL MAULE,9,DISTRITO 18,LONGAVI,2636,7403,27055,5066,8297,78,33,13363,13474,0.49802254666420254,0.1641776640808014
DE LA ARAUCANIA,12,DISTRITO 22,LONQUIMAY,2700,9205,12115,1878,3478,64,25,5356,5445,0.4494428394552208,0.2241622640173118
DEL BIOBIO,11,DISTRITO 21,LOS ALAMOS,2659,8206,18230,3561,5882,74,27,9443,9544,0.523532638507954,0.16938834559195531
DE VALPARAISO,6,DISTRITO 6,LOS ANDES,2549,5301,55912,19279,12976,282,96,32255,32633,0.583649306052368,0.1031862571052119
DEL BIOBIO,11,DISTRITO 21,LOS ANGELES,2661,8301,164725,28680,55225,593,231,83905,84729,0.5143663681894066,0.1345595685385791
DE LOS RIOS,13,DISTRITO 24,LOS LAGOS,2813,14104,19109,4038,5272,60,31,9310,9401,0.4919671359045476,0.145320839809035
DE LOS LAGOS,14,DISTRITO 25,LOS MUERMOS,2712,10106,16423,2499,5567,50,35,8066,8151,0.49631614199598123,0.1655464395412805
